(0.857612, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.69438547, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.68173105, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.01, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.37911677, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.0, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.2522631, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.3, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.16928725, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.05, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.054426037, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.054417443, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.054417443, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 64, 'epochs_per_round': 2, 'rounds': 30})
(0.05277546, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.05277546, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 16, 'epochs_per_round': 2, 'rounds': 30})
(0.051314015, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.1, 'server_lr': 0.03162277660168379, 'client_momentum': 0.9, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
(0.051314015, {'act_fn': <jax._src.custom_derivatives.custom_jvp object at 0x7fbe5d33e630>, 'client_lr': 0.5, 'server_lr': 0.03162277660168379, 'client_momentum': 0.6, 'server_momentum': 0.9, 'batch_size': 32, 'epochs_per_round': 2, 'rounds': 30})
